last_name, first_name,year,pitch_hand,n,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,
Yamamoto, Jordan,2019,R,1376,14.8,79.0,2793,15.0,-50.6,16.1,2.1,13.8,74.7,2637,11.6,-64.8,18.6,2.4,
Rogers, Taylor,2019,L,1040,35.3,82.8,2529,-11.0,-38.5,11.8,2,14.7,79.9,2663,-13.7,-44.8,13.9,1.5,
Johnson, Brian,2019,L,772,26.6,77.6,2574,-13.3,-47.6,14.1,1.8,34.5,74.9,2697,-12.1,-63.6,18.4,1.5,
Ponce de Leon, Daniel,2019,R,861,0.1,84.4,2426,3.7,-39.7,3.8,,8.4,77.9,2728,9.3,-62.3,17.3,2.1,
Roark, Tanner,2019,R,2882,21.8,86.3,2255,2.9,-31.2,7.4,1.9,12.7,75.7,2746,12.2,-64.4,19.2,1.3,
Teheran, Julio,2019,R,3034,20.9,82.2,2603,3.2,-37.2,5.8,1.8,6.4,74.8,2762,12.0,-52.4,12.5,2.2,
Strasburg, Stephen,2019,R,3383,0.3,87.8,2250,4.0,-29.0,7.5,1.5,30.6,81.2,2773,12.9,-49.5,15.3,1.4,
Thornton, Trent,2019,R,2759,26.9,80.5,3089,11.0,-52.3,14.3,1.3,1.5,73.9,2795,11.1,-63.2,15.6,1.9,
Biagini, Joe,2019,R,1142,,,,,,,,8.6,77.0,2821,7.1,-67.1,19.7,1.8,
Hellickson, Jeremy,2019,R,675,,,,,,,,13.3,73.7,2845,12.0,-67.7,18.7,2.1,
Cole, Gerrit,2019,R,3360,23.1,89.2,2622,4.9,-31.8,6.4,1.5,15.4,82.6,2901,11.7,-55.6,18.4,1.9,
Hall, Matt,2019,L,501,5.3,81.7,2895,-6.6,-44.8,7.3,1.5,23.9,76.7,2927,-12.4,-64.9,20.9,1.2,
Pruitt, Austin,2019,R,720,23.3,87.4,2658,5.1,-36.1,6,1.3,13.6,81.6,2999,7.2,-52.8,12.4,1.6,
Lugo, Seth,2019,R,1272,12.9,88.1,2435,3.5,-29.1,7.7,1.5,23.7,79.6,3285,12.7,-61.9,21.1,1.9,
Margevicius, Nick,2019,L,958,25.2,80.2,1960,-3.8,-42.0,5.1,1.6,13.4,70.8,1939,-7.4,-67.4,13.7,1.6,
Corbin, Patrick,2019,L,3299,37.1,81.7,2398,-3.6,-42.0,4.3,1.9,3.4,67.8,1989,-3.6,-61.4,4.3,2.4,
McKay, Brendan,2019,L,877,,,,,,,,26.2,81.7,2032,-8.3,-49.8,12.1,1.2,
Hughes, Jared,2019,R,1103,3.9,84.4,2095,2.2,-36.4,3.9,1.5,7.4,81.0,2074,6.1,-44.1,6.8,2.1,
